experiment_id,model_version,model_type,units,learning_rate,batch_size,epochs,dropout,epoch,accuracy,val_accuracy,precision,recall,auc,early_stopping
1,,LSTM,128,0.001,32,25,,1,0.5838024020195007,0.8447350263595581,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,2,0.8351121544837952,0.9103307723999025,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,3,0.8681589961051941,0.9323692321777344,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,4,0.8928277492523193,0.9354433417320251,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,5,0.9018228054046632,0.9473934769630432,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,6,0.913253367,0.94773984,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,7,0.9217072129249572,0.9529355764389038,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,8,0.9321527481079102,0.9740214943885804,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,9,0.9345232844352722,0.97441113,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,10,0.9417648315429688,0.970038116,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,11,0.9405308365821838,0.97441113,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,12,0.9454017877578736,0.9670938849449158,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,13,0.9523618817329408,0.9724194407463074,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,14,0.9486383199691772,0.9778749346733092,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,15,0.9564210176467896,0.9578714966773988,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,16,0.9552519917488098,0.9816851615905762,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,17,0.9542561769485474,0.9718565940856934,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,18,0.9596574902534484,0.982594371,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,19,0.9633269906044006,0.9728091359138488,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,20,0.9635975956916808,0.9519830346107484,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,21,0.952697456,0.9775285720825196,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,22,0.9669206738471984,0.9752771258354188,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,23,0.966433585,0.9905178546905518,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,24,0.966033101,0.988526165,0.9757576918277264,0.9622367011504116,0.999912543,False
1,,LSTM,128,0.001,32,25,,25,0.966022253,0.9754502773284912,0.9757576918277264,0.9622367011504116,0.999912543,False
2,,LSTM,64-128,0.0005,64,25,0.2,1,0.5093739032745361,0.8688950538635254,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,2,0.8618700504302979,0.9219345450401306,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,3,0.907581389,0.9602961540222168,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,4,0.9308538436889648,0.9632836580276488,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,5,0.940227747,0.9630239009857178,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,6,0.9505109190940856,0.959170401,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,7,0.9562045335769652,0.9741946458816528,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,8,0.956291139,0.9530221819877625,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,9,0.964625895,0.9807758927345276,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,10,0.9639548063278198,0.9541912078857422,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,11,0.96628207,0.9685660004615784,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,12,0.9695942997932434,0.9864911437034608,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,13,0.9722787737846376,0.9830273389816284,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,14,0.9703195095062256,0.9840232133865356,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,15,0.973231316,0.987703502,0.9893176085815244,0.975258343,0.9999839265598072,False
2,,LSTM,64-128,0.0005,64,25,0.2,16,0.975028157,0.9922930598258972,0.9893176085815244,0.975258343,0.9999839265598072,False
